Times,Angle,Cur,Diff,Control
00:38.81,-7.20805,349.0,3.791962,0.142707
00:38.83,-7.284869,347.0,5.715118,0.190957
00:38.84,-7.353631,345.0,7.646362,0.23944
00:38.86,-7.418369,344.0,8.581635,0.237923
00:38.88,-7.478448,342.0,10.521545,0.311536
00:38.89,-7.533459,342.0,10.466553,0.260289
00:38.91,-7.582963,341.0,11.417023,0.309187
00:38.92,-7.627061,341.0,11.372925,0.283221
00:38.94,-7.665387,341.0,11.334625,0.282408
00:38.96,-7.698388,341.0,11.301605,0.281715
00:38.97,-7.726151,342.0,10.273865,0.231153
00:38.99,-7.749144,343.0,9.250854,0.205696
00:39.00,-7.768113,344.0,8.231873,0.180322
00:41.37,150.455353,67.0,83.455353,1.5
00:41.39,151.8069,67.0,84.8069,1.5
00:41.40,153.171082,67.0,86.171082,1.5
00:41.42,154.538559,67.0,87.538559,1.5
00:41.44,155.908737,68.0,87.908737,1.5
00:41.45,157.280853,69.0,88.280853,1.5
00:41.47,158.653961,70.0,88.653961,1.5
00:41.48,160.027039,72.0,88.027039,1.5
00:41.50,161.398865,73.0,88.398865,1.5
00:41.52,162.768265,76.0,86.768265,1.5
00:41.53,164.133896,78.0,86.133896,1.5
00:41.55,165.494385,80.0,85.494385,1.5
00:41.56,166.848282,83.0,83.848282,1.5
00:41.58,168.194016,86.0,82.194016,1.5
00:41.60,169.529922,89.0,80.529922,1.5
00:41.61,170.85434,92.0,78.85434,1.5
00:41.63,172.165421,95.0,77.165421,1.5
00:41.64,173.461334,99.0,74.461334,1.5
00:41.66,174.740082,102.0,72.740082,1.5
00:41.68,175.999542,105.0,70.999542,1.5
00:41.69,177.237701,109.0,68.237701,1.5
00:41.71,178.452515,113.0,65.452515,1.5
00:41.72,179.642212,116.0,63.642212,1.5
00:41.74,-179.194992,120.0,60.804993,1.449194
00:41.76,-178.060883,123.0,58.939117,1.426831
00:41.77,-176.957138,127.0,56.042847,1.328664
00:41.79,-175.884857,130.0,54.115143,1.304686
00:41.80,-174.844986,133.0,52.155029,1.254873
00:41.82,-173.838348,136.0,50.161652,1.204207
00:41.84,-172.865921,139.0,48.134094,1.152663
00:41.85,-171.928116,142.0,46.071899,1.100243
00:41.87,-171.025146,145.0,43.974854,1.046945
00:41.88,-170.15715,148.0,41.842834,0.99277
00:41.90,-169.324646,150.0,40.675354,0.987697
00:41.92,-168.52771,153.0,38.47229,0.906731
00:41.93,-167.766312,155.0,37.233704,0.899878
00:41.95,-167.040726,157.0,35.95929,0.867122
00:41.96,-166.351013,159.0,34.648987,0.833467
00:41.98,-165.696976,161.0,33.30304,0.798927
00:42.00,-165.077789,163.0,31.922211,0.763535
00:42.01,-164.492218,166.0,29.507782,0.677334
00:42.03,-163.938599,168.0,28.061401,0.665376
00:42.04,-163.41507,170.0,26.58493,0.627711
00:42.06,-162.920135,172.0,25.079865,0.58937
00:42.08,-162.452774,175.0,22.547241,0.500365
