assist,bot,lag,completion_time_mean,completion_time_std,control_mean,control_std,angle_error_mean,angle_error_std
0.5,bot2,230,52.48,,0.2571008399878086,,20.474946134410242,
0.5,bot2,240,52.49,,0.24949182693479585,,19.51310228275442,
0.5,bot2,250,52.49,,0.2485657038391225,,19.53601191224863,
0.5,bot2,260,52.49,,0.24935516849482026,,19.741563861974406,
0.5,bot2,270,52.49,,0.25292497806215725,,19.789379827848872,
0.5,bot2,280,52.49,,0.2532206218769043,,19.826751243449117,
0.5,bot2,290,52.49,,0.2502171505179769,,19.568636040524073,
0.5,bot2,300,52.49,,0.24469057647775747,,19.249254278488728,
1.0,bot1,0,45.04,,0.341670325848564,,13.293543769712793,
1.0,bot1,10,47.93,,0.49166623163587203,,19.560144415051827,
1.0,bot1,20,46.81,,0.44443407616822433,,17.67739181588785,
1.0,bot1,30,48.43,,0.49980211878453035,,19.842820968232044,
1.0,bot1,40,48.33,,0.49711317261635796,,19.711728073203798,
1.0,bot1,50,44.83,,0.33834540348902636,,13.291171823297695,
1.0,bot1,60,48.96,,0.4865642843951985,,19.195268311634344,
1.0,bot1,70,47.85,,0.4454652687673772,,17.66762450231696,
1.0,bot1,80,48.06,,0.446979075462963,,17.71170398796296,
1.0,bot1,90,50.62,,0.5058834269366197,,20.542068778169014,
1.0,bot1,100,44.91,,0.3375104413646055,,13.208839135394454,
1.0,bot1,110,49.56,,0.45624866914660833,,18.170109899343544,
1.0,bot1,120,52.46,,0.5576941918484973,,23.787627231370937,
1.0,bot1,130,52.3,,0.555724745945946,,23.281548443243246,
1.0,bot1,140,51.53,,0.49063540752864154,,19.946527675531915,
1.0,bot1,150,46.8,,0.36253293582887697,,14.291812456490035,
1.0,bot1,160,52.48,,0.5357757784663052,,21.937453707978307,
1.0,bot1,170,52.52,,0.5764120456794823,,24.566321691663497,
1.0,bot1,180,52.51,,0.8284135080156749,,297.8475863640898,
1.0,bot1,190,52.51,,0.6768718209718669,,31.724661472415058,
1.0,bot1,200,49.66,,0.4065308477772788,,16.20525677997306,
1.0,bot1,210,52.52,,0.8693879872457774,,119.7306547235436,
1.0,bot1,220,49.16,,0.7170745026415095,,148.39447770264152,
1.0,bot1,230,52.51,,1.1400184803664921,,185.2471683949607,
1.0,bot1,240,52.51,,1.1953037220630374,,156.37392585609678,
1.0,bot1,250,45.32,,0.6384803553648069,,190.4758182223176,
1.0,bot1,260,52.49,,0.9858757940789473,,173.63072732565786,
1.0,bot1,270,52.54,,1.096811289456869,,197.91074665175717,
1.0,bot1,280,52.48,,1.1065406314940303,,173.0446169554695,
1.0,bot1,290,52.49,,1.185427980044346,,119.514539543554,
1.0,bot1,300,52.51,,1.317055452268111,,173.79680216723088,
1.0,bot2,0,45.02,,0.25408090195381877,,9.8776036312611,
1.0,bot2,10,48.3,,0.2616989894039735,,10.161455321192054,
1.0,bot2,20,46.8,,0.26020314217361584,,10.101288603896105,
1.0,bot2,30,48.41,,0.259956332011893,,10.114145305913446,
1.0,bot2,40,48.67,,0.2659986342425238,,10.344066642129476,
1.0,bot2,50,44.81,,0.2652076716630978,,10.243106585653104,
1.0,bot2,60,48.94,,0.26237591797385623,,10.16734378366013,
1.0,bot2,70,47.84,,0.2639234165830826,,10.242123779338014,
1.0,bot2,80,48.04,,0.2578254237683089,,9.998843532956057,
1.0,bot2,90,50.6,,0.2670673991782554,,10.360253227243994,
1.0,bot2,100,45.16,,0.25664148087818694,,10.005532086048158,
1.0,bot2,110,49.55,,0.25750045319561005,,10.03636946772111,
1.0,bot2,120,52.48,,0.2566106065224017,,9.961133104236513,
1.0,bot2,130,52.44,,0.25455050899664533,,9.857664420250076,
1.0,bot2,140,51.77,,0.25690927957985793,,9.984887986716094,
1.0,bot2,150,47.0,,0.2586577186117727,,10.031264885675398,
1.0,bot2,160,52.49,,0.25499760054844606,,9.915482356489944,
1.0,bot2,170,52.49,,0.2514725847044485,,9.801202629798905,
1.0,bot2,180,52.49,,0.2528486392443632,,9.831560543266301,
1.0,bot2,190,52.49,,0.2632444765386959,,10.229710710237658,
1.0,bot2,200,49.64,,0.2642986014819587,,10.269545407860821,
1.0,bot2,210,52.49,,0.26139047562461915,,10.159375999085922,
1.0,bot2,220,49.15,,0.25736287992190043,,10.008869131467621,
1.0,bot2,230,52.49,,0.2623476489945155,,10.168774348263256,
1.0,bot2,240,52.48,,0.25831943279487957,,10.050352765925023,
1.0,bot2,250,45.48,,0.2630902928973277,,10.200242758438819,
1.0,bot2,260,52.48,,0.2587984910088388,,10.06472362785736,
1.0,bot2,270,52.51,,0.2528085702101736,,9.817016684434968,
1.0,bot2,280,52.46,,0.26530480487804875,,10.296064753353658,
1.0,bot2,290,52.48,,0.2519996903383115,,9.781292326729654,
1.0,bot2,300,52.49,,0.253496803778184,,9.885924201401586,
1.5,bot1,0,44.12,,0.3773514170999422,,9.682671436164068,
1.5,bot1,10,42.96,,0.39649331050493325,,10.235636193267556,
1.5,bot1,20,44.22,,0.454216312572759,,11.905942805587895,
1.5,bot1,30,44.14,,0.448046463880597,,11.72821515641791,
1.5,bot1,40,44.43,,0.4474983557531962,,11.771745257365202,
1.5,bot1,50,43.64,,0.3756779777242625,,9.80061466586394,
1.5,bot1,60,44.49,,0.43883379344955104,,11.521132322239831,
1.5,bot1,70,45.95,,0.4415993657701711,,11.623042592176038,
1.5,bot1,80,43.87,,0.3943753796498906,,10.34836093763676,
1.5,bot1,90,45.42,,0.4156910388625592,,10.980356719431278,
1.5,bot1,100,43.71,,0.3715166335540839,,9.723735294701987,
1.5,bot1,110,48.51,,0.46060741084945334,,12.205703061396132,
1.5,bot1,120,47.45,,0.4417316901524516,,11.698855112896581,
1.5,bot1,130,48.11,,0.45175373373983746,,11.939688245528455,
1.5,bot1,140,49.56,,0.4946159687738005,,13.088696766184311,
1.5,bot1,150,48.08,,0.440070784575614,,11.616220433433865,
1.5,bot1,160,50.67,,0.4946258190094683,,13.088941075018207,
1.5,bot1,170,52.49,,0.5814445803233574,,15.402193655658756,
1.5,bot1,180,52.46,,0.5945278894181694,,15.747987876828853,
1.5,bot1,190,52.51,,0.6541921061320755,,17.278903586927225,
1.5,bot1,200,52.51,,0.6425865386560693,,17.011361233381503,
1.5,bot1,210,52.51,,1.0132065178926442,,32.42929911398277,
1.5,bot1,220,52.51,,1.624036480429293,,149.34804642266414,
1.5,bot1,230,47.4,,1.4244926910569105,,46.204656450689285,
1.5,bot1,240,52.51,,1.6690665535939473,,58.86221346153846,
1.5,bot1,250,52.49,,1.6526299646258502,,71.41924417176871,
1.5,bot1,260,52.49,,1.6558228552050474,,59.514301304416406,
1.5,bot1,270,52.51,,1.7527267251572327,,70.49844922201258,
1.5,bot1,280,52.51,,1.7641356881079386,,281.7784918261688,
1.5,bot1,290,52.51,,1.7597178969621046,,72.22300147635453,
1.5,bot1,300,52.51,,1.7715913478840388,,72.54513202799068,
1.5,bot2,0,44.14,,0.2832333902173913,,7.3149345547101445,
1.5,bot2,10,43.29,,0.28470404950129297,,7.326812439601035,
1.5,bot2,20,44.44,,0.27895363979848864,,7.226487727240015,
1.5,bot2,30,44.33,,0.2745978784271284,,7.096505443722944,
