isOffTrack check: left=0, right=0, total=1289992592
isOffTrack check: left=0, right=0, total=1280579232
isOffTrack check: left=0, right=0, total=1224389344
isOffTrack check: left=0, right=0, total=1278230640
isOffTrack check: left=0, right=0, total=1224192400
isOffTrack check: left=0, right=0, total=1224192400
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1261723104
isOffTrack check: left=0, right=0, total=1224421568
isOffTrack check: left=0, right=0, total=1224421568
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245926480
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1244727408
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245528320
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1260562880
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1278152048
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1244728640
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245513792
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1245414912
isOffTrack check: left=0, right=0, total=1243237552
isOffTrack check: left=0, right=0, total=1244801856
isOffTrack check: left=0, right=0, total=1245414912
